avg(CAST(Trades AS DOUBLE)),Ticker,Exchange
154.10204081632654,ABC,Phlx
3658.1803278688526,ABC,NYSE
4432.540983606557,ABC,Nasdaq
602.4244897959184,ABC,Edge-A
2084.661224489796,ABC,Bats-Z
1570.0163265306123,ABC,Edge-X
0.2457627118644068,ABC,CHX
2333.885714285714,ABC,Arca
868.7061224489796,ABC,Bats-Y
1.9690265486725664,ABC,NSX
59.03673469387755,ABCB,Edge-A
167.59591836734694,ABCB,Bats-Z
22.33469387755102,ABCB,Phlx
227.0081632653061,ABCB,Arca
129.79183673469387,ABCB,Edge-X
201.33877551020407,ABCB,Bats-Y
855.4549180327868,ABCB,Nasdaq
0.35294117647058826,ABCB,CHX
0.42857142857142855,ABCB,NSX
111.4938775510204,ABCB,Boston
1.4,ABCD,NSX
2.909090909090909,ABCD,Boston
0.14285714285714285,ABCD,CHX
3.3714285714285714,ABCD,Bats-Y
31.322448979591837,ABCD,Arca
62.307377049180324,ABCD,Nasdaq
0.5537190082644629,ABCD,Phlx
11.971428571428572,ABCD,Bats-Z
2.073469387755102,ABCD,Edge-A
13.412244897959184,ABCD,Edge-X
208.0122448979592,ABCO,Bats-Y
166.76734693877552,ABCO,Boston
83.3061224489796,ABCO,Edge-A
258.51428571428573,ABCO,Bats-Z
0.13157894736842105,ABCO,CHX
406.8816326530612,ABCO,Arca
0.31443298969072164,ABCO,NSX
30.39183673469388,ABCO,Phlx
270.2408163265306,ABCO,Edge-X
1313.4139344262296,ABCO,Nasdaq
40.75609756097561,ABCW,Boston
16.304878048780488,ABCW,Edge-A
91.82926829268293,ABCW,Edge-X
,ABCW,
6.670731707317073,ABCW,Phlx
54.18292682926829,ABCW,Bats-Z
146.3170731707317,ABCW,Arca
400.109756097561,ABCW,Nasdaq
0.0,ABCW,CHX
67.07317073170732,ABCW,Bats-Y
0.03225806451612903,ABCW,NSX
19.96734693877551,ABEO,Edge-A
56.87083333333333,ABEO,Boston
0.125,ABEO,CHX
0.26666666666666666,ABEO,NSX
8.835616438356164,ABEO,Phlx
105.11428571428571,ABEO,Edge-X
72.5265306122449,ABEO,Bats-Y
110.86530612244898,ABEO,Arca
66.81632653061224,ABEO,Bats-Z
218.54918032786884,ABEO,Nasdaq
0.057803468208092484,ABG,CHX
158.4326530612245,ABG,Boston
24.26938775510204,ABG,Phlx
82.62857142857143,ABG,Edge-A
911.9959016393443,ABG,Nasdaq
188.6530612244898,ABG,Edge-X
569.1926229508197,ABG,NYSE
254.69387755102042,ABG,Bats-Z
0.12643678160919541,ABG,NSX
235.9918367346939,ABG,Bats-Y
612.204081632653,ABG,Arca
3.8688524590163933,ABIO,Bats-Y
12.375510204081632,ABIO,Edge-X
9.093877551020409,ABIO,Arca
8.86530612244898,ABIO,Bats-Z
3.4327731092436973,ABIO,Boston
1.363265306122449,ABIO,Edge-A
0.0,ABIO,NSX
0.0,ABIO,CHX
21.450819672131146,ABIO,Nasdaq
0.33624454148471616,ABIO,Phlx
0.06818181818181818,ABM,CHX
273.49795918367346,ABM,Arca
162.5673469387755,ABM,Edge-X
206.5142857142857,ABM,Bats-Z
153.9918367346939,ABM,Bats-Y
17.751020408163264,ABM,Phlx
77.29387755102042,ABM,Edge-A
570.6147540983607,ABM,NYSE
98.7591836734694,ABM,Boston
0.1329479768786127,ABM,NSX
447.3975409836066,ABM,Nasdaq
0.07627118644067797,ABMD,CHX
435.29795918367347,ABMD,Edge-X
0.3876651982378855,ABMD,NSX
724.0040816326531,ABMD,Arca
330.1183673469388,ABMD,Bats-Z
231.35102040816327,ABMD,Boston
102.03673469387755,ABMD,Edge-A
233.5795918367347,ABMD,Bats-Y
2086.938524590164,ABMD,Nasdaq
40.63265306122449,ABMD,Phlx
2480.318367346939,ABT,Edge-A
4304.497959183674,ABT,Bats-Y
1.9833333333333334,ABT,CHX
6096.085714285714,ABT,Bats-Z
710.204081632653,ABT,Phlx
6450.5286885245905,ABT,NYSE
4566.167346938775,ABT,Arca
8.8,ABT,NSX
4455.661224489796,ABT,Edge-X
8719.622950819672,ABT,Nasdaq
2124.9795918367345,ABT,Boston
390.41803278688525,ABTL,Nasdaq
9.404081632653062,ABTL,Phlx
95.04081632653062,ABTL,Bats-Y
0.0,ABTL,CHX
59.55510204081633,ABTL,Boston
0.0,ABTL,NSX
92.89795918367346,ABTL,Edge-X
24.23265306122449,ABTL,Edge-A
60.78367346938776,ABTL,Bats-Z
134.64081632653063,ABTL,Arca
18.110204081632652,ABTX,Bats-Z
14.706122448979592,ABTX,Boston
0.1,ABTX,CHX
7.1387755102040815,ABTX,Edge-A
20.76326530612245,ABTX,Edge-X
0.0,ABTX,NSX
30.30204081632653,ABTX,Arca
121.78688524590164,ABTX,Nasdaq
1.5046296296296295,ABTX,Phlx
16.081632653061224,ABTX,Bats-Y
19.314285714285713,AC,Arca
0.23529411764705882,AC,CHX
21.33606557377049,AC,Nasdaq
11.714876033057852,AC,Boston
0.11764705882352941,AC,NSX
0.5592105263157895,AC,Phlx
4.853061224489796,AC,Edge-A
9.17142857142857,AC,Bats-Z
10.4,AC,Bats-Y
10.465306122448979,AC,Edge-X
60.864754098360656,AC,NYSE
2337.745901639344,ACAD,Edge-X
1444.3073770491803,ACAD,Bats-Z
710.0696721311475,ACAD,Bats-Y
173.0327868852459,ACAD,Phlx
1932.4489795918366,ACAD,Arca
586.8647540983607,ACAD,Boston
0.05726872246696035,ACAD,CHX
5634.399176954733,ACAD,Nasdaq
394.5204918032787,ACAD,Edge-A
0.7035398230088495,ACAD,NSX
980.6367346938775,ACAS,Bats-Z
1688.5901639344263,ACAS,Nasdaq
1892.9346938775511,ACAS,Arca
464.6734693877551,ACAS,Edge-A
0.14814814814814814,ACAS,NSX
1200.330612244898,ACAS,Edge-X
1.3410404624277457,ACAS,CHX
679.8857142857142,ACAS,Bats-Y
343.8,ACAS,Boston
185.31428571428572,ACAS,Phlx
0.037037037037037035,ACAT,NSX
15.83673469387755,ACAT,Phlx
70.73061224489796,ACAT,Boston
727.4795081967213,ACAT,Nasdaq
150.5265306122449,ACAT,Bats-Z
47.00816326530612,ACAT,Edge-A
163.73877551020408,ACAT,Edge-X
102.2326530612245,ACAT,Bats-Y
0.4090909090909091,ACAT,CHX
225.13877551020408,ACAT,Arca
64.4530612244898,ACBI,Arca
2.6157205240174672,ACBI,Phlx
13.489795918367347,ACBI,Edge-A
0.0,ACBI,CHX
36.97959183673469,ACBI,Bats-Z
0.2,ACBI,NSX
143.40983606557376,ACBI,Nasdaq
31.012244897959185,ACBI,Edge-X
25.714285714285715,ACBI,Boston
26.191836734693876,ACBI,Bats-Y
49.375510204081635,ACCO,Phlx
176.22857142857143,ACCO,Edge-A
235.0408163265306,ACCO,Edge-X
364.64897959183673,ACCO,Bats-Y
607.172131147541,ACCO,NYSE
0.2976190476190476,ACCO,CHX
260.51428571428573,ACCO,Boston
0.11946902654867257,ACCO,NSX
516.4180327868852,ACCO,Nasdaq
302.72244897959183,ACCO,Arca
349.8326530612245,ACCO,Bats-Z
707.5696721311475,ACET,Nasdaq
0.1276595744680851,ACET,CHX
0.024390243902439025,ACET,NSX
109.9265306122449,ACET,Bats-Y
35.542857142857144,ACET,Edge-A
13.138775510204082,ACET,Phlx
156.78775510204082,ACET,Edge-X
125.42040816326531,ACET,Bats-Z
78.9673469387755,ACET,Boston
197.21224489795918,ACET,Arca
5.314285714285714,ACFC,Edge-X
7.624489795918367,ACFC,Arca
0.15337423312883436,ACFC,Phlx
1.6983471074380165,ACFC,Bats-Y
1.2098765432098766,ACFC,Edge-A
0.0,ACFC,NSX
8.36734693877551,ACFC,Bats-Z
16.934426229508198,ACFC,Nasdaq
0.0,ACFC,CHX
1.0,ACFC,Boston
186.35510204081632,ACHC,Edge-A
740.334693877551,ACHC,Bats-Z
0.17372881355932204,ACHC,CHX
70.12653061224489,ACHC,Phlx
1064.5020408163266,ACHC,Arca
379.0938775510204,ACHC,Boston
745.7755102040817,ACHC,Edge-X
3357.561475409836,ACHC,Nasdaq
1.1991150442477876,ACHC,NSX
377.82448979591834,ACHC,Bats-Y
0.2625,ACHN,CHX
183.9795918367347,ACHN,Phlx
760.4081632653061,ACHN,Bats-Y
1128.538775510204,ACHN,Edge-X
2143.05737704918,ACHN,Nasdaq
436.64897959183673,ACHN,Boston
495.2857142857143,ACHN,Edge-A
64.57352941176471,ACHN,Amex
1023.0367346938775,ACHN,Arca
0.08771929824561403,ACHN,NSX
1682.5591836734693,ACHN,Bats-Z
30.6,ACI,Phlx
399.0,ACI,Nasdaq
125.4,ACI,Boston
71.6,ACI,Bats-Y
55.2,ACI,Bats-Z
72.8,ACI,Edge-A
347.0,ACI,NYSE
226.0,ACI,Arca
388.2,ACI,Edge-X
204.9935064935065,ACIA,Bats-Y
0.08391608391608392,ACIA,CHX
0.10273972602739725,ACIA,NSX
1132.5974025974026,ACIA,Edge-X
61.493506493506494,ACIA,Phlx
196.74025974025975,ACIA,Boston
2395.2156862745096,ACIA,Nasdaq
461.961038961039,ACIA,Bats-Z
1011.3831168831168,ACIA,Arca
139.0064935064935,ACIA,Edge-A
0.7428571428571429,ACIM,Edge-A
2.9186991869918697,ACIM,Bats-Y
0.0,ACIM,Phlx
1.2571428571428571,ACIM,Nasdaq
2.049586776859504,ACIM,Boston
0.0,ACIM,CHX
2.1951219512195124,ACIM,Edge-X
7.7560975609756095,ACIM,Arca
0.6300813008130082,ACIM,Bats-Z
0.0,ACIM,NSX
1618.327868852459,ACIW,Nasdaq
302.67755102040815,ACIW,Edge-X
48.06938775510204,ACIW,Phlx
452.9795918367347,ACIW,Bats-Z
139.27755102040817,ACIW,Boston
132.38367346938776,ACIW,Edge-A
0.08370044052863436,ACIW,NSX
0.4723404255319149,ACIW,CHX
354.73061224489794,ACIW,Arca
230.31428571428572,ACIW,Bats-Y
392.0696721311475,ACLS,Nasdaq
72.77142857142857,ACLS,Edge-A
18.15918367346939,ACLS,Phlx
0.0661764705882353,ACLS,NSX
151.83673469387756,ACLS,Edge-X
131.92244897959185,ACLS,Bats-Z
133.0408163265306,ACLS,Bats-Y
0.0,ACLS,CHX
70.71428571428571,ACLS,Boston
135.84489795918367,ACLS,Arca
534.804081632653,ACM,Edge-X
750.2734693877551,ACM,Bats-Z
66.10204081632654,ACM,Phlx
1739.1967213114754,ACM,NYSE
290.0081632653061,ACM,Boston
1690.9959016393443,ACM,Nasdaq
0.5154185022026432,ACM,NSX
718.065306122449,ACM,Arca
437.21632653061226,ACM,Bats-Y
292.40408163265306,ACM,Edge-A
0.0794979079497908,ACM,CHX
23.62704918032787,ACNB,Nasdaq
1.5854922279792747,ACNB,Boston
0.2052980132450331,ACNB,Phlx
2.0553191489361704,ACNB,Bats-Y
0.0,ACNB,CHX
1.0334728033472804,ACNB,Edge-A
6.90204081632653,ACNB,Edge-X
6.163265306122449,ACNB,Bats-Z
0.125,ACNB,NSX
9.559183673469388,ACNB,Arca
56.7469387755102,ACOR,Phlx
0.15948275862068967,ACOR,CHX
458.1877551020408,ACOR,Bats-Z
149.5387755102041,ACOR,Edge-A
0.1907514450867052,ACOR,NSX
702.5428571428571,ACOR,Arca
249.9469387755102,ACOR,Boston
406.71020408163264,ACOR,Bats-Y
384.41632653061225,ACOR,Edge-X
1932.877049180328,ACOR,Nasdaq
11.0,ACPW,NSX
14.317391304347826,ACPW,Bats-Z
2.0579710144927534,ACPW,Phlx
28.704347826086956,ACPW,Arca
49.200873362445414,ACPW,Nasdaq
13.17180616740088,ACPW,Bats-Y
10.967592592592593,ACPW,Boston
0.2916666666666667,ACPW,CHX
22.114035087719298,ACPW,Edge-A
51.59130434782609,ACPW,Edge-X
81.18775510204081,ACRS,Arca
0.14285714285714285,ACRS,NSX
0.16,ACRS,CHX
29.791836734693877,ACRS,Boston
35.51428571428571,ACRS,Bats-Z
4.983606557377049,ACRS,Phlx
288.1188524590164,ACRS,Nasdaq
26.13469387755102,ACRS,Bats-Y
14.6,ACRS,Edge-A
55.522448979591836,ACRS,Edge-X
22.53061224489796,ACRX,Phlx
117.12244897959184,ACRX,Arca
0.0,ACRX,NSX
129.64897959183673,ACRX,Bats-Y
161.81632653061226,ACRX,Edge-X
333.57377049180326,ACRX,Nasdaq
120.6734693877551,ACRX,Bats-Z
54.43265306122449,ACRX,Edge-A
0.0,ACRX,CHX
65.02857142857142,ACRX,Boston
81.75102040816327,ACTA,Arca
0.06153846153846154,ACTA,NSX
73.36734693877551,ACTA,Bats-Z
65.89795918367346,ACTA,Edge-X
56.64081632653061,ACTA,Boston
70.29795918367347,ACTA,Bats-Y
275.64344262295083,ACTA,Nasdaq
0.0,ACTA,CHX
6.6,ACTA,Phlx
19.742857142857144,ACTA,Edge-A
40.34285714285714,ACTG,Phlx
0.01282051282051282,ACTG,NSX
143.8,ACTG,Boston
313.53061224489795,ACTG,Arca
0.15942028985507245,ACTG,CHX
280.2326530612245,ACTG,Bats-Z
111.2326530612245,ACTG,Edge-A
655.6065573770492,ACTG,Nasdaq
206.24897959183673,ACTG,Bats-Y
279.60816326530613,ACTG,Edge-X
0.056910569105691054,ACTX,Edge-A
0.06097560975609756,ACTX,Boston
0.0,ACTX,CHX
0.04065040650406504,ACTX,Bats-Y
0.10975609756097561,ACTX,Edge-X
0.4122448979591837,ACTX,Nasdaq
0.044715447154471545,ACTX,Bats-Z
0.3333333333333333,ACTX,Phlx
0.0975609756097561,ACTX,Arca
0.4936708860759494,ACU,Bats-Y
1.7142857142857142,ACU,Bats-Z
0.0,ACU,CHX
0.21428571428571427,ACU,Phlx
2.25,ACU,Nasdaq
0.0,ACU,NSX
1.853061224489796,ACU,Edge-X
7.7792792792792795,ACU,Amex
0.425,ACU,Boston
0.2127659574468085,ACU,Edge-A
2.130434782608696,ACU,Arca
2.4315352697095434,ACUR,Bats-Y
1.3060344827586208,ACUR,Phlx
9.044897959183674,ACUR,Bats-Z
0.0,ACUR,CHX
2.2780082987551866,ACUR,Edge-A
12.946938775510205,ACUR,Arca
23.770491803278688,ACUR,Nasdaq
16.90204081632653,ACUR,Edge-X
1.800865800865801,ACUR,Boston
102.86486486486487,ACW,Nasdaq
151.33783783783784,ACW,NYSE
66.54708520179372,ACW,Edge-X
70.6322869955157,ACW,Bats-Y
0.24074074074074073,ACW,CHX
47.81614349775785,ACW,Edge-A
8.985915492957746,ACW,Phlx
55.729729729729726,ACW,Boston
0.06493506493506493,ACW,NSX
84.75784753363229,ACW,Arca
78.5201793721973,ACW,Bats-Z
,ACW,
0.0942622950819672,ACWF,Nasdaq
0.21030042918454936,ACWF,Bats-Z
0.0,ACWF,CHX
0.0,ACWF,Phlx
1.8048780487804879,ACWF,Arca
0.0,ACWF,Boston
0.1630901287553648,ACWF,Edge-X
0.0,ACWF,NSX
0.0,ACWF,Edge-A
0.03208556149732621,ACWF,Bats-Y
567.5,ACWI,Boston
1551.7632653061225,ACWI,Nasdaq
1383.3902439024391,ACWI,Arca
1007.8861788617886,ACWI,Edge-X
621.0813008130082,ACWI,Edge-A
1118.5731707317073,ACWI,Bats-Y
0.1388888888888889,ACWI,CHX
137.67073170731706,ACWI,Phlx
1035.878048780488,ACWI,Bats-Z
0.38562091503267976,ACWI,NSX
42.67886178861789,ACWV,Bats-Z
82.80081300813008,ACWV,Bats-Y
74.59183673469387,ACWV,Nasdaq
116.53658536585365,ACWV,Arca
53.72357723577236,ACWV,Edge-X
0.0,ACWV,CHX
39.43089430894309,ACWV,Edge-A
50.552845528455286,ACWV,Boston
1.5488721804511278,ACWV,NSX
3.0203252032520327,ACWV,Phlx
131.9878048780488,ACWX,Edge-A
329.5975609756098,ACWX,Arca
93.04471544715447,ACWX,Boston
607.9102040816326,ACWX,Nasdaq
169.83739837398375,ACWX,Edge-X
146.65853658536585,ACWX,Bats-Y
